trial,n_components,method,rmse
72,4,sklearn,1.6033688087246591
72,6,project,1.4576775178650172
72,6,sklearn,1.1634778847326241
72,8,project,1.3722965168112167
72,8,sklearn,0.7579146703041871
73,2,project,2.0504077916272765
73,2,sklearn,2.050407791627262
73,4,project,1.6242929552809304
73,4,sklearn,1.604861913388171
73,6,project,1.3426121222572862
73,6,sklearn,1.1913824266458557
73,8,project,1.0806831361131033
73,8,sklearn,0.770853570334401
74,2,project,2.0801483282749076
74,2,sklearn,2.0801483282748894
74,4,project,1.698873716424586
74,4,sklearn,1.6651314123022625
74,6,project,1.6550797022532648
74,6,sklearn,1.2402236348073958
74,8,project,1.6277216268843517
74,8,sklearn,0.7455204057778135
75,2,project,2.07958302455442
75,2,sklearn,2.0795830245544162
75,4,project,1.6956234691091425
75,4,sklearn,1.654446567125259
75,6,project,1.320605087333837
75,6,sklearn,1.2015824197558915
75,8,project,1.3212479271129751
75,8,sklearn,0.7122514100993984
76,2,project,2.065593902958237
76,2,sklearn,2.0655939029582364
76,4,project,1.7185335130381785
76,4,sklearn,1.6656506883081166
76,6,project,1.416079667225676
76,6,sklearn,1.239492916291423
76,8,project,1.190384284983613
76,8,sklearn,0.7669855787635513
77,2,project,2.5489684187921986
77,2,sklearn,2.0432915259165343
77,4,project,2.5489684187921986
77,4,sklearn,1.617012758778352
77,6,project,2.5489684187921986
77,6,sklearn,1.188776152493102
77,8,project,2.5489684187921986
77,8,sklearn,0.7624891740353347
78,2,project,2.0785997254148265
78,2,sklearn,2.07859972541481
78,4,project,1.6580943700956767
78,4,sklearn,1.6580943700956665
78,6,project,1.3286248265722918
78,6,sklearn,1.2404870632942848
78,8,project,1.0814232500587169
78,8,sklearn,0.7718598862599679
79,2,project,2.646779174770725
79,2,sklearn,2.1968959054043604
79,4,project,2.646779174770725
79,4,sklearn,1.7300804703392139
79,6,project,2.646779174770725
79,6,sklearn,1.21849154421998
79,8,project,2.646779174770725
79,8,sklearn,0.7828603615316428
80,2,project,2.1031146287505904
80,2,sklearn,2.10311462875059
80,4,project,1.703040687140357
80,4,sklearn,1.667474461284923
80,6,project,1.3466924222760672
80,6,sklearn,1.1861999223208468
80,8,project,1.1191562586117823
80,8,sklearn,0.749045892484328
81,2,project,2.60725909721301
81,2,sklearn,2.149393474991591
81,4,project,2.60725909721301
81,4,sklearn,1.7204120176771798
81,6,project,2.60725909721301
81,6,sklearn,1.2779894982427449
81,8,project,2.60725909721301
81,8,sklearn,0.820686083884953
82,2,project,2.256109910774844
82,2,sklearn,2.165169551309402
82,4,project,1.9810502056229895
82,4,sklearn,1.749046300719185
82,6,project,1.807919106407157
82,6,sklearn,1.2696625934659576
82,8,project,1.807919106407376
82,8,sklearn,0.809931121692937
